# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.017731348	0.99978966	0.009982723	-0.047599956	0.9988061	0.010983329
2.047e-12	-0.035111845	0.9991695	0.020035643	-0.0946117	0.9952464	0.023094002
4.095e-12	-0.06873328	0.99676985	0.04030113	-0.18581551	0.9812932	0.05036079
8.191e-12	-0.13122554	0.98781693	0.08132623	-0.3515541	0.9291381	0.11450803
1.4972828340676483e-11	-0.220147	0.96325797	0.15001152	-0.5602356	0.7945579	0.2341155
2.1826506243351783e-11	-0.2913128	0.9299259	0.2193706	-0.68547994	0.63833666	0.35018128
2.8778601675817714e-11	-0.34488237	0.89114666	0.2887151	-0.7457694	0.49277627	0.44829008
3.5932789160443396e-11	-0.38175395	0.8490421	0.35826015	-0.7663551	0.37074354	0.52459466
4.3319992613015326e-11	-0.40223038	0.8054433	0.4275574	-0.7675247	0.27401477	0.5794529
5.087465490912129e-11	-0.40680104	0.7620678	0.49535307	-0.76295507	0.19824818	0.61525226
5.844864533839071e-11	-0.39692003	0.7202853	0.5598918	-0.75975084	0.1366232	0.6356422
6.604943911993859e-11	-0.3745095	0.6798227	0.62096417	-0.75976807	0.081653655	0.6449814
7.373992549327697e-11	-0.34107763	0.63957506	0.67876637	-0.76216525	0.028134678	0.64669746
8.158517756149315e-11	-0.29780683	0.59800726	0.73334444	-0.76526505	-0.026669934	0.64308447
8.962169849723859e-11	-0.24596953	0.5533599	0.7843446	-0.76756656	-0.083547056	0.6354215
9.785896844736617e-11	-0.1872409	0.5037406	0.8310618	-0.76822674	-0.14212947	0.62412035
1.062802925477399e-10	-0.123912275	0.44734046	0.872511	-0.767118	-0.20157754	0.60892594
1.1485907861414117e-10	-0.058834426	0.38265848	0.90760005	-0.76458275	-0.2610944	0.58917284
1.2366383981110026e-10	0.0054404456	0.3079192	0.9355046	-0.761046	-0.32069182	0.56376386
1.3252973604703588e-10	0.06448282	0.22416487	0.95471644	-0.7569036	-0.378819	0.5323907
1.4155055115062344e-10	0.11588488	0.13121504	0.96463203	-0.75221825	-0.43552753	0.494282
1.5069118871022507e-10	0.15688165	0.031053767	0.9644817	-0.74687576	-0.48983338	0.44950363
1.5993911643054423e-10	0.18585815	-0.07365101	0.9538517	-0.74055797	-0.54084015	0.3985656
1.6898980487246352e-10	0.20217253	-0.1764016	0.9334868	-0.733076	-0.58636445	0.3442865
1.779856747435252e-10	0.2079172	-0.27595758	0.90395683	-0.7239285	-0.62698793	0.28729257
1.8711609105548947e-10	0.20549054	-0.3719047	0.86518604	-0.7124947	-0.66345763	0.22775224
1.9650657105890937e-10	0.19772963	-0.46324736	0.81689596	-0.6981467	-0.6961868	0.16611895
2.0556818430712077e-10	0.18895157	-0.54309356	0.7630428	-0.6816015	-0.7235937	0.10728523
2.1427722875342537e-10	0.18292624	-0.6115072	0.7053027	-0.66305834	-0.7465602	0.051850863
2.2271864688060546e-10	0.18254845	-0.66968095	0.64433914	-0.6424498	-0.7661325	-0.00080035155
2.310241817793037e-10	0.19024499	-0.7187521	0.58004797	-0.61937565	-0.78319883	-0.05190436
2.3911114701845196e-10	0.20780091	-0.75817525	0.51375556	-0.59383535	-0.79798627	-0.101598695
2.4709957975019807e-10	0.23681754	-0.7880327	0.4450796	-0.56506515	-0.8108974	-0.15139462
2.5512754837680066e-10	0.27912188	-0.8073403	0.37329718	-0.53188556	-0.8220004	-0.2030257
2.6305819640363693e-10	0.33464187	-0.8135887	0.3001959	-0.49409294	-0.8306114	-0.2565088
2.7095363114160124e-10	0.40335655	-0.80413425	0.22597675	-0.45070004	-0.83588415	-0.31311107
2.788096092706286e-10	0.4837094	-0.7755966	0.15167946	-0.4011378	-0.8362857	-0.37364733
2.8638242854078233e-10	0.5697743	-0.7263451	0.08086741	-0.34701952	-0.82987076	-0.4368172
2.9381412276490423e-10	0.65828645	-0.6539755	0.013639698	-0.28812003	-0.81407595	-0.50418043
3.0125031611442464e-10	0.7451271	-0.5553336	-0.0495881	-0.22462842	-0.78479075	-0.5775671
3.086908412665455e-10	0.82307976	-0.42957342	-0.10672954	-0.15924492	-0.7366152	-0.65724945
3.1580420657257493e-10	0.8817425	-0.2854608	-0.15355495	-0.09975219	-0.6667343	-0.7385396
3.228333558732523e-10	0.91744524	-0.12397431	-0.19038011	-0.05154629	-0.56840146	-0.821072
3.2991129346476517e-10	0.9251976	0.051452823	-0.21624151	-0.025440972	-0.43481663	-0.90006953
3.3689827929918186e-10	0.90153635	0.22901055	-0.22942232	-0.037320428	-0.26861715	-0.96238756
3.437289335957878e-10	0.84773797	0.39794075	-0.22973576	-0.10056474	-0.0825188	-0.99129426
3.505241512675856e-10	0.7665356	0.5529988	-0.21763408	-0.22188891	0.10346587	-0.9692538
3.573642498182953e-10	0.6619861	0.6888745	-0.19349152	-0.39313716	0.25916797	-0.88175184
3.6426304735777045e-10	0.540464	0.8003779	-0.15810311	-0.58496714	0.35511398	-0.72859716
3.710924842995209e-10	0.4121561	0.8832047	-0.11367646	-0.75498235	0.38091898	-0.5330638
3.778350013945631e-10	0.2851274	0.93835735	-0.06236539	-0.876676	0.35280704	-0.3262356
3.846045499400604e-10	0.1636352	0.9693999	-0.0051787244	-0.9460448	0.29607612	-0.13037358
3.9152180442104004e-10	0.050856277	0.97967386	0.05734981	-0.97152275	0.23292077	0.041050673
3.985668590540915e-10	-0.04860657	0.97246337	0.123602465	-0.9673885	0.17980278	0.17808664
4.055896393536134e-10	-0.13032952	0.95221066	0.19076693	-0.95048535	0.1446278	0.2749737
4.126823477582098e-10	-0.19462371	0.922807	0.25852853	-0.9344475	0.1247723	0.33349735
4.1987320794837e-10	-0.24155205	0.8874304	0.3261862	-0.9279109	0.111713395	0.35562134
4.2706843409128426e-10	-0.27126637	0.84915113	0.39209786	-0.9334152	0.09373574	0.34622476
4.3422829471562245e-10	-0.28523704	0.80999595	0.45537198	-0.94722295	0.06066502	0.31457973
4.4135872122594143e-10	-0.28534466	0.77091616	0.5156989	-0.9622315	0.008015318	0.2717566
4.484441771610959e-10	-0.27345818	0.73229706	0.57268953	-0.97153425	-0.061689444	0.22809651
4.555057135325299e-10	-0.25131738	0.69381183	0.6263045	-0.97122395	-0.1414646	0.19061634
4.625633015552433e-10	-0.22047195	0.6547773	0.6764763	-0.96097517	-0.223012	0.16242585
4.696546942072983e-10	-0.1822438	0.61415786	0.72320247	-0.943068	-0.2996145	0.14315292
4.768226450638834e-10	-0.13782308	0.5707035	0.7663997	-0.920825	-0.36728525	0.13011223
4.838935646728656e-10	-0.08991795	0.52450556	0.8047364	-0.89793336	-0.42334944	0.11979669
4.90680135203743e-10	-0.041653525	0.47624782	0.8372351	-0.876717	-0.4684245	0.109029934
4.971671997560771e-10	0.0051796343	0.4259746	0.8640854	-0.85737026	-0.50563073	0.09607528
5.034064768745056e-10	0.049624793	0.3734947	0.8857756	-0.8391091	-0.5379137	0.080681145
5.094783264529368e-10	0.09120969	0.3184626	0.90277755	-0.82101214	-0.56729853	0.063444525
5.154474062497293e-10	0.12951697	0.26068363	0.9153651	-0.80250716	-0.59478694	0.04532353
5.213657935259534e-10	0.16414632	0.20011011	0.9236653	-0.7834673	-0.6206586	0.027226236
5.272809549256916e-10	0.19473842	0.13678636	0.9277008	-0.76413935	-0.64477944	0.009697971
5.332237791013663e-10	0.22091836	0.07100164	0.92741007	-0.74503934	-0.66679084	-0.0072346404
5.392029915208733e-10	0.24234365	0.003386376	0.9227147	-0.72675276	-0.6863156	-0.024137735
5.452103404661438e-10	0.25882718	-0.0651435	0.9135944	-0.7096528	-0.703175	-0.042110406
5.511843198163223e-10	0.27036884	-0.13302076	0.90024364	-0.6937611	-0.71742606	-0.062358506
5.570965678580295e-10	0.2774139	-0.19910817	0.8829647	-0.67844117	-0.72956836	-0.08597498
5.629077185892568e-10	0.28065902	-0.26228422	0.8622062	-0.6627022	-0.740235	-0.113395676
5.686448463367694e-10	0.28098363	-0.32231137	0.8382273	-0.6452881	-0.7501221	-0.1446326
5.74314436592421e-10	0.27928516	-0.37885025	0.8113237	-0.62517196	-0.7596779	-0.1790137
5.799362696178046e-10	0.27646843	-0.43179718	0.7816968	-0.60163915	-0.76911664	-0.21556401
5.855440048636027e-10	0.2734202	-0.48122603	0.749414	-0.5743152	-0.7784269	-0.25330544
5.911653116852333e-10	0.27103043	-0.5271553	0.7145099	-0.5432012	-0.78737134	-0.29137507
5.968025192580814e-10	0.2702095	-0.5693947	0.6771392	-0.5087106	-0.79549205	-0.32909244
6.02428084340226e-10	0.2718427	-0.6075723	0.63766444	-0.4716034	-0.802154	-0.36608464
6.080033388710961e-10	0.27669793	-0.6413215	0.5965664	-0.43270946	-0.80664	-0.40244707
6.135134125109631e-10	0.2853971	-0.6704725	0.554181	-0.39250863	-0.8082266	-0.43883127
6.189778444538961e-10	0.2984927	-0.69498706	0.510572	-0.35093826	-0.80614054	-0.47628483
6.244230412519205e-10	0.31650347	-0.7147051	0.46572036	-0.3075989	-0.79945785	-0.51587
6.298250780449195e-10	0.33967724	-0.72916	0.42001945	-0.2623435	-0.7871672	-0.5580518
6.352004415601267e-10	0.36825117	-0.7379171	0.37354225	-0.21474445	-0.76804215	-0.6032263
6.405471402013138e-10	0.40223008	-0.7403634	0.32653528	-0.16477366	-0.74068433	-0.6512538
6.458154827477703e-10	0.4410369	-0.7358693	0.2797019	-0.11333799	-0.7038716	-0.70116043
6.509805594426637e-10	0.48390615	-0.7239582	0.23356391	-0.061753135	-0.65637046	-0.7518545
6.56085975577559e-10	0.53043425	-0.7040028	0.18805324	-0.011319336	-0.5962294	-0.80269533
6.611859111917669e-10	0.58023727	-0.67506576	0.14304382	0.03592755	-0.52083755	-0.85287315
6.663252680910264e-10	0.63268405	-0.6359545	0.09856458	0.076615475	-0.42716902	-0.9009032
6.715186449859961e-10	0.686535	-0.5855386	0.05500704	0.10542991	-0.31272706	-0.94395983
6.76681390396791e-10	0.7391534	-0.5240376	0.013644982	0.11514555	-0.17889783	-0.977082
6.817657565543112e-10	0.7880993	-0.45217925	-0.024610626	0.09882611	-0.029863011	-0.99459827
6.868353774743415e-10	0.83192766	-0.3695831	-0.059692606	0.05000685	0.12944579	-0.99019456
6.919642968492859e-10	0.8689582	-0.27560458	-0.09143469	-0.03679317	0.28999364	-0.9560587
6.971991620745437e-10	0.8968668	-0.1701977	-0.11928581	-0.16263568	0.4365816	-0.8843602
7.023977046837416e-10	0.91261	-0.05795833	-0.14178063	-0.31486803	0.54709995	-0.7747805
7.07609879989275e-10	0.9147471	0.059663206	-0.15862806	-0.47729975	0.6096665	-0.63155955
7.128098437672673e-10	0.9021988	0.17919014	-0.16931696	-0.62925076	0.6202309	-0.4663259
7.180413269140291e-10	0.8744401	0.2984644	-0.17361642	-0.7556105	0.5849057	-0.2912771
7.232669464535289e-10	0.83201987	0.41341427	-0.17132425	-0.84646374	0.516499	-0.12007761
7.284016661930258e-10	0.7772375	0.51936686	-0.16270609	-0.90006095	0.43124494	0.036075413
7.334630152146027e-10	0.71231586	0.61459935	-0.14823629	-0.921911	0.3417786	0.17391354
7.385786500154185e-10	0.6379522	0.6996746	-0.12792675	-0.91875833	0.25507063	0.2955851
7.437603808576203e-10	0.556312	0.7730864	-0.10200427	-0.89654493	0.1774967	0.40116355
7.489192311401907e-10	0.47149935	0.8327694	-0.07142031	-0.861989	0.11448485	0.4899355
7.540239343703969e-10	0.38677192	0.87865126	-0.03709174	-0.82132137	0.06810267	0.5632338
