# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.024343133	0.99957323	0.015732184	-0.02746817	0.99947816	0.017001236
2.047e-12	-0.04809071	0.9983181	0.03155639	-0.05428101	0.99794364	0.034088906
4.095e-12	-0.09364319	0.9934844	0.06337478	-0.105743766	0.99203897	0.06838858
8.191e-12	-0.17654455	0.97563505	0.12730107	-0.1994327	0.97029626	0.13693555
1.5450110706182372e-11	-0.29537958	0.9235728	0.23948343	-0.33372676	0.90740305	0.25542077
2.2644133477511725e-11	-0.37835154	0.85568917	0.34646136	-0.42810905	0.82651436	0.3654765
2.9964427939961476e-11	-0.4306485	0.7784555	0.448724	-0.48977566	0.7359245	0.4674155
3.7495312610089414e-11	-0.45580742	0.69611496	0.54552025	-0.52421147	0.64092606	0.5606302
4.5289586989126304e-11	-0.45727494	0.6110628	0.63585097	-0.5365806	0.5444602	0.64456564
5.3352064452685593e-11	-0.43871439	0.5244548	0.7182747	-0.53178173	0.44804618	0.71846896
6.164984073102735e-11	-0.4042756	0.4364264	0.7911501	-0.5145704	0.35218298	0.78154737
7.016301532107591e-11	-0.35830006	0.34600562	0.8531155	-0.4893275	0.25629884	0.8332918
7.890794258678187e-11	-0.3048612	0.25141418	0.90301853	-0.45976	0.1590369	0.87331325
8.793248208466266e-11	-0.24759874	0.15060362	0.93956435	-0.42885244	0.058712225	0.90099335
9.728559804193476e-11	-0.18981948	0.042014066	0.96099305	-0.39896604	-0.046091855	0.91521
1.0699612453538684e-10	-0.13435224	-0.07473234	0.9651187	-0.37173107	-0.15607992	0.91436917
1.1672654309681104e-10	-0.084554955	-0.19414216	0.9505063	-0.34836942	-0.2671128	0.89753675
1.256238140785413e-10	-0.043371987	-0.30314544	0.9207938	-0.32918313	-0.36856067	0.86818403
1.3415334537113266e-10	-0.0057062916	-0.404976	0.87798846	-0.3105625	-0.46479085	0.8277093
1.4262842075590543e-10	0.03306978	-0.50091314	0.8221634	-0.28892004	-0.5583423	0.7758696
1.5116311795202696e-10	0.077417314	-0.58926237	0.7534149	-0.26031673	-0.64917165	0.7124497
1.5953804355052306e-10	0.13031742	-0.6645141	0.67484367	-0.22154346	-0.73333055	0.6398993
1.6769764622336006e-10	0.1946041	-0.72301906	0.5890664	-0.16949157	-0.8083338	0.5601061
1.7573571688520396e-10	0.27304718	-0.76170385	0.49732333	-0.10066608	-0.8723231	0.47354567
