# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.024330858	0.9995737	0.01572731	-0.03388955	0.9992678	0.017757783
2.047e-12	-0.04806638	0.99831975	0.0315467	-0.067027725	0.9971083	0.035810072
4.095e-12	-0.09359555	0.99349034	0.06335579	-0.13068561	0.98876363	0.07257206
8.191e-12	-0.17645414	0.9756571	0.1272654	-0.24611004	0.9579404	0.14752822
1.5125778037638698e-11	-0.2906886	0.9263904	0.2344855	-0.4014765	0.8742134	0.27279508
2.2068928581612744e-11	-0.37272844	0.861616	0.33805856	-0.50778383	0.7686799	0.3882649
2.906891647988405e-11	-0.42559415	0.78830767	0.43657035	-0.57370377	0.65582114	0.48943415
3.6269467154848525e-11	-0.45317453	0.70978487	0.53035235	-0.6101575	0.5419066	0.5761316
4.378692729727468e-11	-0.4583242	0.6276413	0.6192416	-0.6259164	0.42881775	0.6490572
5.1634723904668165e-11	-0.443688	0.5430989	0.7017166	-0.6274293	0.31693482	0.7085468
5.972057315318526e-11	-0.41290167	0.45719534	0.7753954	-0.61937565	0.20642881	0.7546356
6.799414255952543e-11	-0.37018016	0.36950362	0.8387232	-0.6049423	0.0965423	0.78760844
7.654421817975266e-11	-0.3189746	0.27760717	0.89112675	-0.5860602	-0.014746257	0.8074443
8.549729562546594e-11	-0.26221162	0.1785347	0.93147576	-0.56410336	-0.12921827	0.8128368
9.475948270984541e-11	-0.20412368	0.07207226	0.957173	-0.54071957	-0.24541618	0.8016798
1.0437041999630623e-10	-0.1476867	-0.04257413	0.9661603	-0.5163814	-0.36338004	0.77199435
1.1431414295739236e-10	-0.09512908	-0.16425985	0.95620406	-0.48988816	-0.48209444	0.7221403
1.233788788652306e-10	-0.052117877	-0.27569062	0.9300596	-0.46169528	-0.5863903	0.6605111
1.319668481583628e-10	-0.013901664	-0.3792181	0.89055157	-0.4278091	-0.6803551	0.58911604
1.4043059354701301e-10	0.024214152	-0.47669378	0.8381115	-0.3837637	-0.76654625	0.50798744
1.4900106221636554e-10	0.067062914	-0.5678725	0.7721485	-0.32454202	-0.84498596	0.4169105
1.573921885858491e-10	0.11735272	-0.6465412	0.6960752	-0.24888992	-0.91023284	0.32107344
1.6562491379676227e-10	0.17869598	-0.7097519	0.61168903	-0.1549859	-0.9594488	0.22250374
1.736896340966819e-10	0.2534415	-0.7537912	0.521243	-0.042381655	-0.988749	0.123178594
1.8157318556580578e-10	0.34216064	-0.7745277	0.4273053	0.08784169	-0.9933409	0.024834251
1.8935988059943707e-10	0.44450983	-0.7674756	0.3315365	0.23460007	-0.96705216	-0.072059155
1.9712439404890393e-10	0.55787355	-0.7270136	0.23606504	0.39460042	-0.90122443	-0.1664887
2.0481273199505828e-10	0.6746894	-0.64857894	0.14518045	0.5579148	-0.7870496	-0.2548251
2.1223826008672856e-10	0.7824493	-0.5334263	0.06485922	0.70662355	-0.62189376	-0.33068886
2.1958969651179768e-10	0.87285954	-0.38175285	-0.0032133362	0.8257971	-0.4011371	-0.38989735
2.269856111838049e-10	0.9353957	-0.19663332	-0.055966467	0.8932689	-0.12670153	-0.42413616
2.343718572993056e-10	0.9590119	0.010177365	-0.089154705	0.88428754	0.17987458	-0.42192605
2.4166955124614875e-10	0.9383936	0.22130263	-0.1002093	0.78764695	0.47915444	-0.3746523
2.4891363119472116e-10	0.8751769	0.4213	-0.08880997	0.61383253	0.729858	-0.28051063
2.561780457935778e-10	0.77590823	0.5974097	-0.055755954	0.39270112	0.9004261	-0.14597006
2.6341524245305234e-10	0.65303737	0.73787355	-0.0036876523	0.16741414	0.978242	0.012089215
