# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.01773857	0.99978936	0.009982808	-0.06729547	0.9976694	0.011272684
2.047e-12	-0.035126206	0.9991682	0.020035818	-0.13364775	0.99074197	0.023805335
4.095e-12	-0.06876135	0.99676484	0.040301412	-0.26108444	0.96390086	0.051962376
8.191e-12	-0.13127713	0.9877988	0.08132591	-0.48288894	0.86779946	0.115453176
1.3181247246319962e-11	-0.19851962	0.9706886	0.13182457	-0.67819625	0.7078163	0.19224067
1.821638085890655e-11	-0.2562373	0.9482436	0.18289517	-0.79792243	0.54045576	0.25669602
2.3451420486564095e-11	-0.30556607	0.9211093	0.23567836	-0.864302	0.38749805	0.3051881
2.9024233123355423e-11	-0.3465433	0.8896279	0.29110217	-0.8974717	0.25757346	0.3375288
3.495551550124237e-11	-0.37785235	0.85473055	0.34883988	-0.9126103	0.15321617	0.35448274
4.110385184868861e-11	-0.39795765	0.8183236	0.40699577	-0.92010593	0.07257212	0.3580471
4.7333718313266456e-11	-0.40670556	0.78207093	0.46389967	-0.92543745	0.009583566	0.35171923
5.359684662250231e-11	-0.4049428	0.7467213	0.51885504	-0.93018323	-0.04219533	0.33927795
5.991494102629601e-11	-0.3936597	0.7122464	0.57184863	-0.9340711	-0.087166876	0.32388574
6.632850185172954e-11	-0.37364018	0.678217	0.62299734	-0.9364646	-0.12740667	0.30784652
7.287469962840507e-11	-0.34550303	0.64396346	0.67231977	-0.93706083	-0.16343251	0.29257357
7.95717654143747e-11	-0.30988935	0.6086659	0.7196102	-0.936065	-0.19504654	0.27864027
8.636297680666572e-11	-0.26799357	0.571688	0.7641076	-0.93407804	-0.22186701	0.26599962
9.321011739896498e-11	-0.22118913	0.5321989	0.80522376	-0.9317867	-0.24419661	0.25406227
1.0012886561785477e-10	-0.17065755	0.48905498	0.84268427	-0.92966336	-0.26299918	0.24203594
1.071488604332962e-10	-0.11759361	0.44104865	0.8761929	-0.9278777	-0.279443	0.22928727
1.1424540299433527e-10	-0.06375947	0.38747692	0.9051278	-0.92635363	-0.29448238	0.21560347
1.214033488293077e-10	-0.010976674	0.32788363	0.9289408	-0.9248745	-0.30880252	0.20107798
1.2861869167734208e-10	0.03898103	0.26210803	0.94715697	-0.92323375	-0.32271567	0.18596709
1.3592233697613313e-10	0.084617026	0.19005926	0.9593911	-0.921325	-0.33626962	0.17046118
1.4336989932258293e-10	0.12462621	0.111741096	0.9652173	-0.9191558	-0.34937313	0.15457569
1.5086752739166944e-10	0.15719415	0.029179294	0.9641788	-0.91685635	-0.36166272	0.1384781
1.584175998355134e-10	0.18161379	-0.0561815	0.95613223	-0.9145338	-0.37306085	0.12200487
1.66077656954581e-10	0.19782522	-0.14331365	0.94092023	-0.9122178	-0.38368884	0.10483754
1.7383429779479352e-10	0.20611385	-0.23028389	0.9185469	-0.9098789	-0.39364216	0.08687824
1.8156047759612756e-10	0.20749481	-0.31400496	0.8896635	-0.90746355	-0.40290976	0.06844158
1.89355576863866e-10	0.20370412	-0.39414716	0.8543081	-0.9048381	-0.41172233	0.049443677
1.9710194216065788e-10	0.19689307	-0.46845263	0.81349015	-0.9019745	-0.4199927	0.030390128
2.0474759149472362e-10	0.18945941	-0.5358994	0.7681422	-0.89888173	-0.42767644	0.011610131
2.1238018100962842e-10	0.18363915	-0.59698516	0.7183254	-0.89554626	-0.43485525	-0.0069980733
2.1998530897174546e-10	0.18168409	-0.65139323	0.6645945	-0.8919973	-0.44152215	-0.02538739
