# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.024333246	0.99957365	0.015728006	-0.029839741	0.99940556	0.017266376
2.047e-12	-0.048071124	0.9983194	0.03154809	-0.058997355	0.99765587	0.03466905
4.095e-12	-0.09360487	0.99348915	0.063358516	-0.11502066	0.9909133	0.06972145
8.191e-12	-0.176472	0.97565293	0.12727052	-0.21708399	0.9660474	0.14008196
1.5450193142799363e-11	-0.29525855	0.9236264	0.2394365	-0.36301237	0.8942346	0.2617696
2.2644228923299365e-11	-0.3781922	0.85578644	0.3464091	-0.46490434	0.80255497	0.37364298
2.99632952146998e-11	-0.430449	0.77861124	0.44866234	-0.5313638	0.7010249	0.47522143
3.749367563709393e-11	-0.4555754	0.6963195	0.5454729	-0.5694667	0.5958027	0.56570506
4.528867928207005e-11	-0.45700288	0.61129814	0.63584363	-0.5857179	0.49007	0.64471525
5.335250871942245e-11	-0.4383832	0.52470785	0.71831965	-0.5858603	0.3852901	0.7118633
6.165108100831226e-11	-0.40386817	0.43669498	0.791244	-0.5749617	0.28186688	0.76673454
7.016377028109443e-11	-0.35780764	0.34629193	0.85324883	-0.5573386	0.17919676	0.809059
7.890992709777699e-11	-0.3042605	0.25168538	0.9031991	-0.5364263	0.0759199	0.83850604
8.79330391670445e-11	-0.2468968	0.15087236	0.93977326	-0.5148002	-0.029546948	0.8543431
9.728568195182447e-11	-0.18900461	0.042252325	0.961227	-0.49411684	-0.13862409	0.85529643
1.0699504124118849e-10	-0.13342765	-0.07453277	0.9653667	-0.47488996	-0.25195086	0.83963174
1.1672811073739398e-10	-0.083509386	-0.19403811	0.9507468	-0.45664755	-0.36527365	0.8069544
1.2562453495686963e-10	-0.042241532	-0.3030899	0.9210176	-0.43848544	-0.4677526	0.7624902
1.3415329481944735e-10	-0.0045005856	-0.40496138	0.87818635	-0.41673535	-0.5639385	0.70729136
1.4263033330323287e-10	0.034359507	-0.500956	0.82230663	-0.38742825	-0.6562932	0.64097095
1.5116301109531412e-10	0.07877275	-0.58929724	0.7535232	-0.34622929	-0.744368	0.563619
1.5953827779780718e-10	0.13175316	-0.6645346	0.67489314	-0.29027122	-0.82384235	0.47840533
1.6769722578434302e-10	0.19611587	-0.7229792	0.58906543	-0.21715681	-0.8915497	0.38763362
1.757344954689485e-10	0.27463236	-0.76155937	0.4972769	-0.12401508	-0.944609	0.29186708
1.8358373995734996e-10	0.3669459	-0.7756443	0.40272465	-0.010802569	-0.9777152	0.19348416
1.913604234198489e-10	0.4725234	-0.7605928	0.30677795	0.12334471	-0.9850267	0.092720896
1.9911445051769638e-10	0.5877063	-0.71071345	0.21200943	0.2765689	-0.9581423	-0.009126354
2.0671846419356784e-10	0.702962	-0.62298167	0.12367301	0.43972895	-0.88881534	-0.10777455
2.141097450293808e-10	0.80722195	-0.49851453	0.046243787	0.6001905	-0.7715385	-0.19901514
2.2146450588665158e-10	0.89166546	-0.3378926	-0.01829369	0.7461646	-0.5996127	-0.28046992
2.2887706596098966e-10	0.94534135	-0.14555903	-0.066530704	0.8586458	-0.3701108	-0.34666437
2.3624253651892397e-10	0.9579338	0.06397114	-0.094230294	0.91275203	-0.095780574	-0.3887478
2.435200502807473e-10	0.9261406	0.27363834	-0.09956236	0.8905697	0.1985164	-0.39913982
2.5076679575774453e-10	0.85292333	0.46883088	-0.08253972	0.78643566	0.48198774	-0.37267166
2.580172601968468e-10	0.7464827	0.6365577	-0.044402502	0.6106465	0.7207024	-0.30785352
2.652623070342452e-10	0.61956203	0.7673118	0.012042078	0.39049238	0.8877472	-0.20922136
2.72600828905385e-10	0.48442435	0.85857874	0.08397412	0.15762813	0.9745947	-0.084798425
2.801269483647472e-10	0.35271698	0.91097766	0.16849747	-0.05891212	0.9866117	0.05525673
2.8792432157697e-10	0.23484366	0.9275	0.2625422	-0.23858055	0.938891	0.200522
2.960410173601093e-10	0.13955934	0.91283536	0.36251694	-0.37124556	0.85055006	0.34165064
3.0427467497477597e-10	0.07422067	0.8739864	0.46184164	-0.45496324	0.7424532	0.46855813
3.1275409559443047e-10	0.038738694	0.8166505	0.5584567	-0.499362	0.62592185	0.5802323
3.2163123781017995e-10	0.032000136	0.74367535	0.65061545	-0.5137153	0.5056647	0.6770001
3.31046259097365e-10	0.052285817	0.6555482	0.7359302	-0.5058594	0.3824272	0.7588583
3.408338914712948e-10	0.095189266	0.5540018	0.80901134	-0.4834111	0.25811177	0.8231919
3.5091628601084093e-10	0.15383315	0.43951425	0.86584777	-0.4535782	0.13177826	0.86867595
3.60975196796522e-10	0.21877071	0.31619358	0.90240294	-0.42291942	0.005320338	0.89351404
3.709411512211127e-10	0.2828969	0.18716663	0.9177197	-0.39512125	-0.12151191	0.8976913
3.809898434297378e-10	0.34299704	0.0540137	0.9116393	-0.37089252	-0.25082213	0.88082033
3.912500808316731e-10	0.39798892	-0.079441115	0.8834687	-0.34883955	-0.38296577	0.84138215
4.012854694128953e-10	0.44683737	-0.20090353	0.83570784	-0.3261313	-0.510039	0.78126675
4.1109829209962116e-10	0.4933508	-0.30430815	0.7717787	-0.29704797	-0.62934685	0.70279795
4.210155639301212e-10	0.5436897	-0.3867384	0.6927887	-0.25335366	-0.74134487	0.6054615
4.3063559239222657e-10	0.599733	-0.43934327	0.60584724	-0.18956892	-0.83718336	0.49610493
4.398741912258336e-10	0.66223	-0.4590783	0.5165709	-0.101954736	-0.9114879	0.37993532
4.4897797277467985e-10	0.7313135	-0.44435567	0.42713112	0.014109076	-0.9598786	0.25768095
4.579278676655931e-10	0.80251443	-0.39342225	0.34212434	0.1582599	-0.97321355	0.13309151
4.668844745851194e-10	0.8699263	-0.30502415	0.26460022	0.3288811	-0.93969697	0.0077020777
4.756640785788209e-10	0.92317474	-0.18417363	0.20052868	0.5116153	-0.84722674	-0.11133712
4.844732491845331e-10	0.9542999	-0.035347525	0.15237871	0.6912743	-0.6822634	-0.22061065
4.932777598476643e-10	0.9555179	0.13009822	0.123840824	0.8379349	-0.43915784	-0.310699
5.020273482676321e-10	0.9239327	0.2971108	0.11689745	0.91506356	-0.12926184	-0.36948144
5.108618572037228e-10	0.86141825	0.45360243	0.13176915	0.890446	0.2203849	-0.38433537
5.198189016308413e-10	0.7748907	0.58699614	0.16754267	0.7481223	0.55680656	-0.34309557
5.287740790905782e-10	0.67706203	0.6867657	0.22066358	0.5122569	0.81454235	-0.24423474
5.378219759896621e-10	0.579595	0.7507897	0.28728864	0.23544207	0.9584284	-0.09847112
5.469923734155132e-10	0.4933203	0.7800751	0.36288476	-0.023203382	0.98802847	0.07357424
5.563164562217301e-10	0.42614654	0.7782863	0.4428777	-0.22459309	0.931677	0.24982081
5.659098038368619e-10	0.38226345	0.74969006	0.5236157	-0.35808155	0.82408684	0.41525906
5.756901709292512e-10	0.36360294	0.6987713	0.60005	-0.42927426	0.69419533	0.5590902
5.855504089245837e-10	0.3681799	0.63016087	0.66761714	-0.45390782	0.55944866	0.6772896
5.954333069322753e-10	0.39128172	0.5477181	0.72304463	-0.44867352	0.42637715	0.77040285
6.05576662897868e-10	0.42827782	0.45207134	0.76498103	-0.4260915	0.2919743	0.8417499
6.159140365774419e-10	0.47377685	0.34654135	0.7905717	-0.39546606	0.15525275	0.89070886
6.267578594859048e-10	0.52443576	0.23171633	0.797908	-0.3626734	0.010047004	0.9167825
6.377885896015125e-10	0.57517695	0.11668739	0.78492963	-0.33312246	-0.14023124	0.91633767
6.493670139749987e-10	0.6259706	0.00580545	0.7504882	-0.30712584	-0.29935962	0.8858531
6.609472888530153e-10	0.67505866	-0.08626878	0.69754773	-0.28251833	-0.45644328	0.82440025
6.72699228567333e-10	0.7252554	-0.15178598	0.62927043	-0.25026968	-0.60852796	0.73155594
6.839511610789618e-10	0.77506185	-0.18121874	0.5553528	-0.20096222	-0.7410182	0.61664593
6.947597863463674e-10	0.82365394	-0.17430985	0.48191646	-0.12500945	-0.84871674	0.48617774
7.054749308707975e-10	0.8689433	-0.1316592	0.41230989	-0.012482075	-0.92636967	0.34206203
7.160963440205474e-10	0.9050603	-0.055810165	0.35186872	0.14071007	-0.96034676	0.18992606
7.263696240447831e-10	0.9250918	0.044043366	0.3061843	0.32571733	-0.9340979	0.039732162
7.364874782002028e-10	0.9251683	0.159196	0.27701333	0.5297423	-0.83060575	-0.10409495
7.466829766844226e-10	0.9030614	0.28088793	0.26565468	0.7282065	-0.6294453	-0.23483396
7.568044016382619e-10	0.86063707	0.39548752	0.27273574	0.872364	-0.32776767	-0.33569974
7.665046284684381e-10	0.8058312	0.4899336	0.29550305	0.9105065	0.035143636	-0.38706955
7.75553823536015e-10	0.7484678	0.55871284	0.32869092	0.8263024	0.38966113	-0.37921587
7.844475508553561e-10	0.69236726	0.60548383	0.36989844	0.6342144	0.6903724	-0.31140834
7.939431747139586e-10	0.6387353	0.6322474	0.42002907	0.35586753	0.9016291	-0.17947139
8.038823285450283e-10	0.5945273	0.6362839	0.4755029	0.060084682	0.9812979	0.00091159344
8.136612185933834e-10	0.5657595	0.6192595	0.52943575	-0.17446016	0.9458398	0.19028838
8.234176572661521e-10	0.55217814	0.5848916	0.5794248	-0.33067164	0.84397984	0.36734927
8.331697096274788e-10	0.55249196	0.5365007	0.62296104	-0.41655332	0.7131898	0.52029806
8.430059608773281e-10	0.5645021	0.47668007	0.6582695	-0.45077118	0.5732405	0.64668155
8.529256972902072e-10	0.58553576	0.40837303	0.68356663	-0.45092165	0.43250895	0.7465662
8.630764220221129e-10	0.6132051	0.33369753	0.6977068	-0.430841	0.29041836	0.8221365
8.732839896425932e-10	0.6445329	0.2576219	0.699542	-0.40116373	0.1481021	0.8725624
8.838506754058846e-10	0.6784942	0.18231544	0.68865997	-0.36812913	-0.00033404736	0.89847004
8.947554188401443e-10	0.7137755	0.1133088	0.6649394	-0.3359501	-0.15528361	0.89706165
9.059961843371926e-10	0.7496871	0.056751132	0.6293303	-0.3053815	-0.31551522	0.86525667
9.174052440130639e-10	0.78523695	0.019414887	0.5846943	-0.27309024	-0.4751431	0.80150163
9.289067534049957e-10	0.8193207	0.0060347654	0.5349279	-0.23069522	-0.62747014	0.70644367
9.40629645189622e-10	0.850327	0.019400813	0.48380935	-0.16498119	-0.7659696	0.5809171
9.522764594224473e-10	0.87427163	0.058966532	0.43729454	-0.06393946	-0.8757499	0.43262857
9.63794912763847e-10	0.8875284	0.12016112	0.39973015	0.08110656	-0.94129467	0.26944965
9.752359639795471e-10	0.8873096	0.19618532	0.37409133	0.27154037	-0.9422138	0.09908248
9.866749915221833e-10	0.87239206	0.2788811	0.36221918	0.4956414	-0.8516297	-0.06938085
9.96922978547358e-10	0.8474832	0.35110104	0.3638267	0.6971625	-0.67017144	-0.20711876
1.0065729189339577e-09	0.81646395	0.41182727	0.37539896	0.8478	-0.40371814	-0.31161183
