# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.024331369	0.99957365	0.01572727	-0.060601447	0.99794143	0.020987926
2.047e-12	-0.048067395	0.9983195	0.031546623	-0.11984688	0.99185	0.043247305
4.095e-12	-0.09359747	0.9934897	0.0633556	-0.23252231	0.9683559	0.09066577
8.191e-12	-0.17645729	0.97565484	0.12726472	-0.4266289	0.8840135	0.19106996
1.4392912780914272e-11	-0.2801755	0.9324766	0.22328609	-0.6283728	0.7019546	0.3352648
2.0464910243047375e-11	-0.35653132	0.87750757	0.31458336	-0.7322023	0.5129366	0.44806093
2.6782727044769933e-11	-0.41138014	0.8127685	0.40513325	-0.7768166	0.33865234	0.5308857
3.376927286706874e-11	-0.44637272	0.73717225	0.4987033	-0.78831786	0.18248004	0.5875504
4.115266746376477e-11	-0.45893186	0.65632486	0.5891601	-0.78477633	0.05305669	0.61746603
4.883301051155989e-11	-0.45091408	0.57311726	0.67348224	-0.7786418	-0.055193923	0.6249924
5.6592189781732375e-11	-0.42637134	0.4903379	0.7482397	-0.77458835	-0.14861876	0.61470366
6.444842849638673e-11	-0.38957563	0.40715092	0.81306624	-0.7722384	-0.23442522	0.59044147
7.252792097897127e-11	-0.34364676	0.32103604	0.8681543	-0.76949733	-0.3172521	0.55421305
8.094578656427269e-11	-0.29122233	0.22934577	0.91281915	-0.7641884	-0.39880645	0.5068536
8.968326366752025e-11	-0.2356785	0.13095438	0.9451129	-0.75473547	-0.4779039	0.4493545
9.860162866835782e-11	-0.1809653	0.026722588	0.9629264	-0.74045706	-0.5519088	0.3834862
1.0769388559815692e-10	-0.1294305	-0.08298237	0.9650018	-0.7209656	-0.6196512	0.3101359
1.1712965536378468e-10	-0.08132679	-0.19891477	0.94980526	-0.69529605	-0.681376	0.22854692
1.2599141529810343e-10	-0.04033876	-0.30748406	0.91953075	-0.66577685	-0.7313309	0.1477883
1.3451275413352027e-10	-0.0026281928	-0.4091046	0.8761542	-0.6319545	-0.7720675	0.06703513
1.4299027440720184e-10	0.03638433	-0.50482434	0.81972605	-0.5924381	-0.80542874	-0.015968144
1.5150997969183266e-10	0.08105026	-0.5926178	0.75054836	-0.5461569	-0.83140546	-0.10216153
1.5988146622938587e-10	0.13448411	-0.6672663	0.6715257	-0.4935233	-0.84866047	-0.19019988
1.6802881776217703e-10	0.1993475	-0.7249159	0.58547413	-0.43475938	-0.8558378	-0.2801751
1.7605603672475347e-10	0.27841198	-0.7625529	0.493546	-0.36907995	-0.8506366	-0.37439898
1.839010643215426e-10	0.3712926	-0.77553093	0.39889443	-0.29758972	-0.8291125	-0.47327834
1.916768533883716e-10	0.47735327	-0.7591402	0.3029285	-0.22129917	-0.78478646	-0.5788896
1.9943007877791594e-10	0.59276855	-0.70768815	0.20828637	-0.14469555	-0.7079724	-0.691231
2.07021208019085e-10	0.70768386	-0.6184328	0.12037929	-0.079568334	-0.58913064	-0.80406594
2.1440709159133174e-10	0.81126493	-0.49246192	0.043447442	-0.04398918	-0.4209402	-0.90594256
2.2176385585001152e-10	0.8946295	-0.33039623	-0.02049214	-0.063583314	-0.19942397	-0.9777044
2.2917856446647165e-10	0.9467408	-0.13699868	-0.06795197	-0.16935855	0.056665607	-0.9836563
2.358032747578523e-10	0.95840883	0.05144126	-0.09303753	-0.34379566	0.26572838	-0.9002129
2.4205962354176653e-10	0.9359782	0.23229516	-0.10012327	-0.5500432	0.39411274	-0.73560894
2.485836428551316e-10	0.87888336	0.41242298	-0.08977735	-0.75379217	0.42594874	-0.49934676
2.555624018270739e-10	0.78547394	0.5835212	-0.0593307	-0.90572834	0.3576187	-0.22549051
2.621800531249082e-10	0.6751881	0.71644807	-0.013786591	-0.9708309	0.23749435	0.011416518
2.6901571908543456e-10	0.55049187	0.8190288	0.047425926	-0.97132957	0.10071316	0.21268827
2.7645402333253096e-10	0.41556385	0.8901698	0.12632683	-0.9234615	-0.029648554	0.3808974
2.841089336992993e-10	0.28989854	0.9235872	0.21610111	-0.851051	-0.12649335	0.5085927
2.919641542257793e-10	0.18399024	0.9235916	0.31237477	-0.7763877	-0.18337677	0.6025359
2.9975229806950845e-10	0.106567696	0.89776736	0.40779442	-0.7183988	-0.20464046	0.6647687
3.0772883485973686e-10	0.0564355	0.85238445	0.5020613	-0.68515384	-0.20524819	0.6988723
3.1548813764358003e-10	0.03400351	0.795411	0.58791727	-0.67961895	-0.20321997	0.7046931
3.2269941681153176e-10	0.03343104	0.73423237	0.6609521	-0.6926962	-0.21275368	0.6888002
3.2948850228985364e-10	0.04771719	0.67085874	0.7227502	-0.71288896	-0.23828378	0.65911746
